,sighted_timestamp,city,state,country,shape,duration_seconds,duration_mins,comments,date_posted,latitude,longitude
496,9/27/2003 20:50,george,wa,us,light,15.0,10-15 seconds,Object observed from Gorge Amphitheater on September 27&#44 2003.,9/28/2003,47.0791667,-119.85472220000001
497,9/27/2003 22:00,myrtle beach,sc,us,light,10800.0,on &amp; off 3 hrs.,LARGE BRIGHT WHITE LIGHT DISAPEARS AFTER SPLITTING 2 RED LIGHTS  TO THE LEFT AND TO THE RIGHT IN THE SKY&#33,4/14/2009,33.688888899999995,-78.8869444
498,9/27/2003 22:25,terrace (canada),bc,ca,disk,15.0,15 seconds,HBCCUFO CANADIAN REPORT:  A saucer shape and the outline was in light red.,9/28/2003,54.5,-128.583333
499,9/27/2003 22:34,seattle,wa,us,light,60.0,60 seconds,Witnessed a bright green silent light traveling from the north towards the south.,9/28/2003,47.6063889,-122.33083329999998
500,9/27/2003 23:00,kolkata (india),,,triangle,300.0,5 minutes,the objects moved at great speed but silently and quite low.they were clearly visible,10/7/2003,22.572646,88.363895
501,9/27/2003 23:15,frisco,tx,us,triangle,300.0,4 to 5 minutes,Triangle&#44 moving south from the north&#44 not moving very fast&#44  I was completely sober and my wife saw it too.,9/28/2003,33.150555600000004,-96.8233333
502,9/27/2004 07:30,glechien (canada),ab,,teardrop,360.0,6 inutes,3 identical bright white objects with contrails re entering atmosphere,9/29/2004,50.866111,-113.054722
503,9/27/2004 13:00,100 mile house (canada),bc,,circle,120.0,2 minutes,white round object quickly moves in &#44 stops and hovers overhead changing direction&#44 then disappears.,9/29/2004,51.64397,-121.29501
504,9/27/2004 19:40,kuwait,,,light,15.0,15 s,isaw a red small light NE kuwait city sky suden is on than it gos off then came back moor brighter it wasnt moving than it turn off iwa,9/29/2004,29.311659999999996,47.481766
505,9/27/2004 20:20,thorp,wi,us,light,2.0,seconds,3-4 horizontal lights in WSW&#44 visible only seconds but bright as moon.,9/29/2004,44.961111100000004,-90.7997222
506,9/27/2004 20:43,brandon,fl,us,diamond,60.0,1 minute,We saw  object(s) flying in tight formation and or lights on the underside of  an odd shaped  craft .,9/29/2004,27.9375,-82.28611109999999
507,9/27/2004 21:55,noblesville,in,us,circle,5.0,5-seconds,Yellow-White Flat Round Light travels west to east then another travels east to west all in 15 seconds,9/29/2004,40.04555560000001,-86.0086111
508,9/27/2004 23:00,murfreesboro,tn,us,triangle,300.0,5 minutes,Delta Shaped Object seen flying toward Nashville TN from Murfreesboro TN.,9/29/2004,35.845555600000004,-86.39027779999999
509,9/27/2005 06:30,bakersfield,ca,us,unknown,600.0,10 minutes,While driving to work at 6:30 am I observed a jet trail streaking across the sky at a very fast rate. what appeared to be faster than m,10/11/2005,35.3733333,-119.01777779999999
510,9/27/2005 20:30,san antonio,tx,us,light,15.0,10-15 sec,Light in night sky,10/11/2005,29.423888899999998,-98.4933333
511,9/27/2005 20:35,goffstown,nh,us,light,1380.0,23 minutes,Two Bright Lights Hovered over Power Lines,10/11/2005,43.0202778,-71.6008333
512,9/27/2005 21:00,gail,tx,us,circle,180.0,3 min,i live on lake thomas in borden co. we were out looking for sign of some wild hogs that go up and down the colorado river just after da,10/11/2005,32.7702778,-101.445
513,9/27/2006 00:00,fredericton (canada),nb,ca,unknown,30.0,30 sec,UFO sighting near Fredericton.,12/7/2006,45.95,-66.633333
514,9/27/2006 05:00,sherman oaks,ca,us,circle,30.0,half an hour,Dropped off son at school&#44 witnessed floating sphere / heart shapped almost that went left to right&#44 thought it was a balloon until it,10/30/2006,34.1511111,-118.44833329999999
